State,State Code,Metric,2013,2017,2021,2025
Connecticut,CT,fg-sch,0.492534931,0.647584208,0.483071945,0.842845386
Connecticut,CT,fg-yorg,0.387426561,0.513889932,0.329021161,0.387080281
Connecticut,CT,fh-eat,0.173077384,-0.317451913,1.26771265,0.552353546
Connecticut,CT,fh-ed,0.57586798,1.439632847,-1.714489253,0.391373305
Connecticut,CT,fh-ma,1.20606433,1.069080542,0.988874472,0.717662391
Connecticut,CT,fh-read,2.342356961,1.838239806,0.776858559,2.205951989
Connecticut,CT,fh-spf,1.121867058,1.278845676,1.47229069,1.961302017
Connecticut,CT,fh-time,0.432914,0.309617694,-0.468842871,1.399479958
Connecticut,CT,fh-tv,1.19047619,1.19047619,0,0
Connecticut,CT,fh-uw,1.191644513,1.429213303,1.509996918,1.5078107
Connecticut,CT,sc-born,1.500041778,1.466933975,1.230151784,1.156250732
Connecticut,CT,sc-eng-a,0.527632371,0.553324813,0.60253594,0.415661431
Connecticut,CT,sc-eng-c,1.585434918,1.691619976,1.721055637,1.343983914
Connecticut,CT,sc-mid,1.50425982,1.25807353,0.932139213,1.411841678
Connecticut,CT,sm-em,2.09056702,2.09056702,2.09056702,2.09056702
Connecticut,CT,sm-grad,3.292918168,3.919329198,4.366599652,5.262799694
Connecticut,CT,sm-hr,2.925148376,2.46740936,2.330540175,2.805025598
Connecticut,CT,sm-neet,1.391590719,2.9737701,3.545929999,3.913219868
Connecticut,CT,st-fc,2.781736914,2.953792122,3.945802661,4.14722007
Connecticut,CT,st-fc trust,2.356800557,1.774771643,2.567391484,3.12986442
Connecticut,CT,st-fcc,2.991116198,2.034282693,3.198482923,2.798367123
Connecticut,CT,st-vc,2.93910051,3.476984805,3.832402494,4.168259429
Delaware,DE,Civic Engagement,12.52491288,7.186518582,11.22426532,9.102959796
Delaware,DE,Community Life,7.922218873,13.61079818,3.650171526,2.076846328
Delaware,DE,Family Health,7.575503695,7.137059416,1.102867474,3.610033506
Delaware,DE,Future Generations,7.223776855,5.623645521,4.365037615,1.430504351
Delaware,DE,Social Cohesion,6.430207346,6.899419269,5.802987341,4.061361949
Delaware,DE,Social Mobility,7.036117836,7.96010009,10.18100609,13.45373083
Delaware,DE,Social Trust,5.219238422,9.846391592,11.31625802,14.82445632
Delaware,DE,Total,53.93197591,58.26393265,47.64259339,48.55989309
Delaware,DE,ce-ao,1.907954007,1.961601621,1.938546858,1.938935039
Delaware,DE,ce-vt,4.624180712,2.32773842,4.80782631,4.495628793
Delaware,DE,cl-cdd,1.681988744,1.311326286,-1.378484989,-1.65288074
Delaware,DE,cl-don,1.192627714,2.478194033,0.524224026,0.3524803
Delaware,DE,cl-mem,0.303969066,1.28844468,1.613053527,0.825476975
Delaware,DE,cl-np,0.306699904,0.183648475,0.373412772,-0.141414569
Delaware,DE,cl-npo,0.962239948,1.216109487,1.087463504,1.080410166
Delaware,DE,cl-porg,0.750766917,0.72860181,0.711278191,0.749842623
Delaware,DE,cl-rel,0.821265984,0.70117759,-0.139441174,-0.139441174
Delaware,DE,cl-ta,1.089462982,3.018576364,0.574053862,-0.897666102
Delaware,DE,cl-tfn,2.063729339,2.407893779,-1.883784737,-1.093188078
Delaware,DE,cl-vol,0.738156921,1.771800434,1.163324326,1.198931619
Delaware,DE,cv-pm,5.992778163,2.897178541,4.477892153,2.668395964
Delaware,DE,fg-act,-0.369952208,2.210021822,-1.955436572,3.068335433
Delaware,DE,fg-br,1.340119226,0.831282606,0.038832132,-0.586786664
Delaware,DE,fg-play,-0.033541998,-0.101930991,0.084553931,0.109402174
Delaware,DE,fg-read,1.687381022,-0.200079171,0.716977989,0.174319069
Delaware,DE,fg-sch,1.711913755,1.17742637,1.320349581,1.069407924
Delaware,DE,fg-yorg,1.797360254,1.842319029,1.466289433,0.361646132
Delaware,DE,fh-eat,1.736274235,1.199579598,0.259106067,-1.973342138
Delaware,DE,fh-ed,0.011120682,0.020091137,-2.831944072,-0.190398891
Delaware,DE,fh-ma,1.183379089,1.123410642,1.050653247,1.155689522
Delaware,DE,fh-read,2.699306528,1.309702276,0.566279019,0.368802941
Delaware,DE,fh-spf,1.800802545,1.602981612,1.392062989,2.301465667
Delaware,DE,fh-time,0.421963288,2.126450734,1.049340638,2.709262771
