State,Year,Column1,Metric,Data,Datum,Raw Data,Adjusted Data,Bookmark,Mountain States,Metric Name
Oregon,2021,3,Community Life,3.545702654,,-0.503601628,3.545702654,,,
Pennsylvania,2021,3,Community Life,2.998720844,,-0.580179082,2.998720844,,,
Rhode Island,2021,3,Community Life,8.515465262,,0.192165137,8.515465262,,,
South Carolina,2021,3,Community Life,4.369023941,,-0.388336648,4.369023941,,,
South Dakota,2021,3,Community Life,11.16062728,,0.56248782,11.16062728,,,
Tennessee,2021,3,Community Life,4.346110122,,-0.391544583,4.346110122,,,
Texas,2021,3,Community Life,1.008938193,,-0.858748653,1.008938193,,,
United States,2021,3,Community Life,2.756829818,,-0.614043825,2.756829818,,,
Utah,2021,3.2,cl-vol,3.034092959,0.38990894,2.4,3.034092959,,1,Share of adults who report volunteering
Vermont,2021,3,Community Life,3.007709556,,-0.578920662,3.007709556,,,
Virginia,2021,3,Community Life,5.427195701,,-0.240192602,5.427195701,,,
Washington,2021,3,Community Life,4.426776029,,-0.380251356,4.426776029,,,
West Virginia,2021,3,Community Life,2.100147242,,-0.705979386,2.100147242,,,
Wisconsin,2021,3,Community Life,4.056954404,,-0.432026383,4.056954404,,1,
Wyoming,2021,3,Community Life,8.500939734,,0.190131563,8.500939734,,,
Alabama,2025,4,Family Health,5.166592858,,-0.276677,5.166592858,,,
Rhode Island,2013,1.1,ce-vt,2.420433536,0.625,0.02,2.420433536,,,Voter turnout
Rhode Island,2013,1.2,cv-pm,4.473570383,0.124111183,0.88,4.473570383,,,Share of citizens reporting attending public meeting
Rhode Island,2013,1.3,ce-ao,1.981766188,0.523363643,-0.17,1.981766188,,,"Number of advocacy organizations per 100,000 people"
Alaska,2025,3,Community Life,0.660068614,,-0.907590394,0.660068614,,,
Rhode Island,2017,1.1,ce-vt,1.54761192,0.605989,-0.35,1.54761192,,,Voter turnout
Rhode Island,2017,1.2,cv-pm,2.369530022,0.096199525,0,2.369530022,,,Share of citizens reporting attending public meeting
Rhode Island,2017,1.3,ce-ao,1.966434268,0.472296254,-0.17,1.966434268,,,"Number of advocacy organizations per 100,000 people"
Arizona,2025,3,Community Life,0.198374771,,-0.972227532,0.198374771,,1,
Rhode Island,2021,1.1,ce-vt,4.165066717,0.663,0.75,4.165066717,,,Voter turnout
Rhode Island,2021,1.2,cv-pm,6.011176539,0.144508671,1.52,6.011176539,,,Share of citizens reporting attending public meeting
Rhode Island,2021,1.3,ce-ao,1.956711068,0.439910327,-0.18,1.956711068,,,"Number of advocacy organizations per 100,000 people"
