State,State Code,Metric,Year,Value
Florida,FL,fh-time,2013,0.7
Florida,FL,fh-tv,2013,1.2
Florida,FL,fh-uw,2013,-0.3
Florida,FL,sc-born,2013,-1.6
Florida,FL,sc-eng-a,2013,-1.0
Florida,FL,sc-eng-c,2013,-0.3
Florida,FL,sc-mid,2013,1.5
Florida,FL,sm-em,2013,-0.2
Florida,FL,sm-grad,2013,0.3
Florida,FL,sm-hr,2013,1.7
Florida,FL,sm-neet,2013,-1.1
Florida,FL,st-fc,2013,-1.8
Florida,FL,st-fc trust,2013,0.5
Florida,FL,st-fcc,2013,1.9
Florida,FL,st-vc,2013,0.6
Georgia,GA,Civic Engagement,2013,5.5
Georgia,GA,Community Life,2013,8.9
Georgia,GA,Family Health,2013,6.6
Georgia,GA,Future Generations,2013,10.2
Georgia,GA,Social Cohesion,2013,6.3
Georgia,GA,Social Mobility,2013,0.3
Georgia,GA,Social Trust,2013,7.9
Georgia,GA,Total,2013,45.6
Georgia,GA,ce-ao,2013,2.0
Georgia,GA,ce-vt,2013,2.1
Georgia,GA,cl-cdd,2013,1.6
Georgia,GA,cl-don,2013,0.7
Georgia,GA,cl-mem,2013,1.0
Georgia,GA,cl-np,2013,3.4
Georgia,GA,cl-npo,2013,0.6
Georgia,GA,cl-porg,2013,0.8
Georgia,GA,cl-rel,2013,2.0
Georgia,GA,cl-ta,2013,1.7
Georgia,GA,cl-tfn,2013,1.7
Georgia,GA,cl-vol,2013,0.3
Georgia,GA,cv-pm,2013,1.3
Georgia,GA,fg-act,2013,1.2
Georgia,GA,fg-br,2013,2.2
Georgia,GA,fg-play,2013,0.8
Georgia,GA,fg-read,2013,0.7
Georgia,GA,fg-sch,2013,2.0
Georgia,GA,fg-yorg,2013,1.7
Georgia,GA,fh-eat,2013,2.6
Georgia,GA,fh-ed,2013,-0.4
Georgia,GA,fh-ma,2013,0.9
Georgia,GA,fh-read,2013,1.7
Georgia,GA,fh-spf,2013,1.1
Georgia,GA,fh-time,2013,0.5
Georgia,GA,fh-tv,2013,1.2
Georgia,GA,fh-uw,2013,0.1
Georgia,GA,sc-born,2013,1.5
Georgia,GA,sc-eng-a,2013,1.7
Georgia,GA,sc-eng-c,2013,1.9
Georgia,GA,sc-mid,2013,1.1
Georgia,GA,sm-em,2013,0.7
Georgia,GA,sm-grad,2013,0.8
Georgia,GA,sm-hr,2013,1.2
Georgia,GA,sm-neet,2013,-2.4
Georgia,GA,st-fc,2013,2.3
Georgia,GA,st-fc trust,2013,2.2
Georgia,GA,st-fcc,2013,1.4
Georgia,GA,st-vc,2013,2.0
Hawaii,HI,Civic Engagement,2013,-0.1
Hawaii,HI,Community Life,2013,5.0
Hawaii,HI,Family Health,2013,15.1
Hawaii,HI,Future Generations,2013,9.6
Hawaii,HI,Social Cohesion,2013,2.3
Hawaii,HI,Social Mobility,2013,3.5
Hawaii,HI,Social Trust,2013,9.3
Hawaii,HI,Total,2013,44.7
Hawaii,HI,ce-ao,2013,2.1
Hawaii,HI,ce-vt,2013,-2.6
Hawaii,HI,cl-cdd,2013,1.2
Hawaii,HI,cl-don,2013,1.1
Hawaii,HI,cl-mem,2013,0.4
Hawaii,HI,cl-np,2013,0.2
Hawaii,HI,cl-npo,2013,0.8
Hawaii,HI,cl-porg,2013,0.7
