State,State Code,Metric,2013,2017,2021,2025
California,CA,cl-np,0.7,0.5,0.3,0.3
California,CA,cl-npo,0.7,0.8,0.7,0.6
California,CA,cl-porg,0.7,0.7,0.7,0.7
California,CA,cl-rel,0.6,0.3,-1,-1
California,CA,cl-ta,1.6,1.3,0.6,-1.1
California,CA,cl-tfn,2.1,1.8,0.6,-1.6
California,CA,cl-vol,0.4,0.7,-0.9,-0.1
California,CA,cv-pm,1.5,0.7,3.1,1.4
California,CA,fg-act,1.7,1.4,1.3,1.1
California,CA,fg-br,2.1,1.5,0.4,-0.4
California,CA,fg-play,1.6,1.1,1.1,1.1
California,CA,fg-read,1.1,1.7,1.2,1
California,CA,fg-sch,0.6,0.2,0.6,0.7
California,CA,fg-yorg,0.9,1,0.8,1.3
California,CA,fh-eat,2.6,1.8,3.9,2
California,CA,fh-ed,1.8,1.7,-0.3,0.8
California,CA,fh-ma,1.2,1.3,1.6,1.2
California,CA,fh-read,1,-0.6,1.1,1.1
California,CA,fh-spf,3.4,3.9,4.8,5
California,CA,fh-time,0.5,1,0.7,0.7
California,CA,fh-tv,1.2,1.2,0,0
California,CA,fh-uw,1,1.1,-9.6,-9.6
California,CA,sc-born,1.3,1.4,1.6,1.6
California,CA,sc-eng-a,-4.6,-4.2,-3.6,-3.5
California,CA,sc-eng-c,-5.1,-3.5,-2.8,-3
California,CA,sc-mid,0.9,0.7,1,1
California,CA,sm-em,0.9,0.9,0.9,0.9
California,CA,sm-grad,1.6,2.2,3,3.7
California,CA,sm-hr,-1.7,-2.1,-1.5,-0.9
California,CA,sm-neet,-0.6,1.4,2.8,2.5
California,CA,st-fc,2.7,3.1,3.7,3.9
California,CA,st-fc trust,3.8,3.9,3.9,4.1
California,CA,st-fcc,2.7,2.3,2.7,2.9
California,CA,st-vc,1.6,1.5,1.3,0.7
Colorado,CO,Civic Engagement,13.6,10.5,13.4,12.4
Colorado,CO,Community Life,7.9,7.6,4.1,5.5
Colorado,CO,Family Health,14.3,12.2,10.9,9.9
Colorado,CO,Future Generations,15.6,12.5,10.2,11.1
Colorado,CO,Social Cohesion,3.5,4.4,5.2,4.7
Colorado,CO,Social Mobility,7.3,9.9,12.9,14.6
Colorado,CO,Social Trust,12.8,14.1,13.4,14.5
Colorado,CO,Total,74.9,71.1,70.1,72.8
Colorado,CO,ce-ao,2.7,2.1,2,2
Colorado,CO,ce-vt,6,5.6,4.8,7.3
Colorado,CO,cl-cdd,1.9,1.3,-1.2,-1.5
Colorado,CO,cl-don,1.9,1.5,1.5,2.6
Colorado,CO,cl-mem,1.3,0.7,1.1,0.9
Colorado,CO,cl-np,2.4,1.9,1.2,0.9
Colorado,CO,cl-npo,0.7,0.7,0.6,0.9
Colorado,CO,cl-porg,0.8,0.8,0.8,0.7
Colorado,CO,cl-rel,0.1,0.2,-1,-1
Colorado,CO,cl-ta,1.5,0.7,0.2,-0.3
Colorado,CO,cl-tfn,0.3,1.1,0.3,0.2
Colorado,CO,cl-vol,1.4,1.9,0.5,1.6
Colorado,CO,cv-pm,4.8,2.7,6.7,3.1
Colorado,CO,fg-act,1.4,2.1,0.1,0.8
Colorado,CO,fg-br,1.6,1.2,0.1,-0.3
Colorado,CO,fg-play,4.2,2.7,3.3,3.1
Colorado,CO,fg-read,1.7,3.1,1.9,1
Colorado,CO,fg-sch,0.5,0,0.2,0.1
Colorado,CO,fg-yorg,4.1,4.4,3.2,4.4
Colorado,CO,fh-eat,3.1,1.3,3,1.1
Colorado,CO,fh-ed,2.4,1.9,-0.1,1.7
Colorado,CO,fh-ma,1.3,1.5,1.5,1
Colorado,CO,fh-read,3.8,2.3,2.1,1.1
Colorado,CO,fh-spf,0.6,1.1,1.4,1.3
Colorado,CO,fh-time,-0.4,0.5,-0.6,0.4
Colorado,CO,fh-tv,1,1,0,0
Colorado,CO,fh-uw,3.5,3.6,3.5,3.3
Colorado,CO,sc-born,-0.5,-0.5,-0.6,-0.7
Colorado,CO,sc-eng-a,1.3,1.6,1.8,1.9
Colorado,CO,sc-eng-c,0.8,1.3,1.8,1.5
Colorado,CO,sc-mid,2,2,2.1,2.1
Colorado,CO,sm-em,1.4,1.4,1.4,1.4
Colorado,CO,sm-grad,3.4,4.2,5.2,6.3
Colorado,CO,sm-hr,1.5,1.4,2.3,2.6
Colorado,CO,sm-neet,1,3,4.1,4.4
Colorado,CO,st-fc,4.1,4.6,4.6,5.5
Colorado,CO,st-fc trust,3.2,3.6,4,4.5
Colorado,CO,st-fcc,2.9,3.3,3,3.5
Colorado,CO,st-vc,2.6,2.5,1.9,1
Connecticut,CT,Civic Engagement,7.3,9,12.1,10.4
Connecticut,CT,Community Life,8.7,7.4,6,1.3
Connecticut,CT,Family Health,7,7,3.3,7.5
Connecticut,CT,Future Generations,-0.2,0.3,-1.1,-0.7
Connecticut,CT,Social Cohesion,5.1,5,4.5,4.3
Connecticut,CT,Social Mobility,9.7,11.5,12.3,14.1
Connecticut,CT,Social Trust,11.1,10.2,13.5,14.2
Connecticut,CT,Total,48.8,50.4,50.6,51.1
Connecticut,CT,ce-ao,2,1.9,1.9,1.9
Connecticut,CT,ce-vt,2.5,3,4.3,4.5
Connecticut,CT,cl-cdd,2.8,2.6,-1,-1.4
Connecticut,CT,cl-don,1.8,1.1,2.5,2
Connecticut,CT,cl-mem,0.9,0.1,1,0
Connecticut,CT,cl-np,0.1,0,0.2,-0.1
Connecticut,CT,cl-npo,0.8,0.8,0.7,0.5
Connecticut,CT,cl-porg,0.7,0.7,0.7,0.7
Connecticut,CT,cl-rel,0.2,0,-1.3,-1.3
Connecticut,CT,cl-ta,1.2,0.6,0,-1.3
Connecticut,CT,cl-tfn,2,2.2,1.6,-1.4
Connecticut,CT,cl-vol,1.1,1.8,0.8,2.1
Connecticut,CT,cv-pm,2.8,4,5.9,4
Connecticut,CT,fg-act,2.5,2.2,-0.8,0.9
Connecticut,CT,fg-br,-0.3,-0.7,-1,-1
Connecticut,CT,fg-play,-0.7,-0.2,-0.6,-0.7
Connecticut,CT,fg-read,1.7,3.6,0,-0.1
Connecticut,CT,fg-sch,0.5,0.6,0.5,0.8
Connecticut,CT,fg-yorg,0.4,0.5,0.3,0.4
Connecticut,CT,fh-eat,0.2,-0.3,1.3,0.6
Connecticut,CT,fh-ed,0.6,1.4,-1.7,0.4
Connecticut,CT,fh-ma,1.2,1.1,1,0.7
Connecticut,CT,fh-read,2.3,1.8,0.8,2.2
Connecticut,CT,fh-spf,1.1,1.3,1.5,2
Connecticut,CT,fh-time,0.4,0.3,-0.5,1.4
Connecticut,CT,fh-tv,1.2,1.2,0,0
Connecticut,CT,fh-uw,1.2,1.4,1.5,1.5
Connecticut,CT,sc-born,1.5,1.5,1.2,1.2
Connecticut,CT,sc-eng-a,0.5,0.6,0.6,0.4
Connecticut,CT,sc-eng-c,1.6,1.7,1.7,1.3
Connecticut,CT,sc-mid,1.5,1.3,0.9,1.4
Connecticut,CT,sm-em,2.1,2.1,2.1,2.1
Connecticut,CT,sm-grad,3.3,3.9,4.4,5.3
Connecticut,CT,sm-hr,2.9,2.5,2.3,2.8
Connecticut,CT,sm-neet,1.4,3,3.5,3.9
Connecticut,CT,st-fc,2.8,3,3.9,4.1
Connecticut,CT,st-fc trust,2.4,1.8,2.6,3.1
Connecticut,CT,st-fcc,3,2,3.2,2.8
